Thr_F,Thr_UF,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
0.15,0.45,36,-0.04238730734841165,0.8061014228121649,0.2906797212719233,0.0854533441975819
0.15,0.47,36,-0.040379246287918315,0.8151244224175763,0.29776005106375497,0.07777197805264108
0.15,0.49,36,-0.037889573048034544,0.8263439723746856,0.28256952532855256,0.09495736722408778
0.15,0.51,36,-0.037951897081506335,0.8260626897709001,0.2883625224309602,0.08809046463348422
0.15,0.53,36,-0.02927888867060173,0.8653957587411483,0.29389805299548316,0.08189228443638372
0.15,0.55,36,-0.017803918852818155,0.9179141175841526,0.3071575796965496,0.0684188758767576
0.15,0.57,36,-0.0026320539215433595,0.9878447086096791,0.33161690079560424,0.04817861175598456
0.15,0.59,36,-0.004208100273498759,0.9805673645626093,0.34152936250416854,0.04148866928122074
0.15,0.61,36,-0.0021886068103787945,0.9898925107111486,0.377059744732269,0.023395307164451963
0.15,0.63,36,0.0043682334236006155,0.9798280315585178,0.37242534705034286,0.02529647475314963
0.15,0.65,36,0.0046341750386172005,0.9786002188877795,0.3690782820578406,0.026747490211166767
0.15,0.67,36,0.007873712610148088,0.9636484764485124,0.36186921899706664,0.03010655611729028
0.15,0.69,36,0.016221503647681948,0.9251884672770779,0.3810504760694832,0.021854538509291876
0.15,0.71,36,0.0217961055336143,0.8995925071195388,0.3686920822510134,0.026919243654811853
0.15,0.73,36,0.03163274197379462,0.8546851391571436,0.3399845632768598,0.04247880124398805
0.15,0.75,36,0.033102847324079705,0.8480086202801325,0.36418641783802963,0.028991066238858713
0.15,0.77,36,0.0356680469279795,0.8363838764732741,0.35929455361821877,0.03138704766955316
0.15,0.79,36,0.03044750903107898,0.8600751709143408,0.3663748834100504,0.027968958418931236
0.15,0.81,36,0.056001259949087376,0.7456322086819782,0.3822090754899647,0.02142334943912193
0.15,0.83,36,-0.009163933386804749,0.9576967163339662,0.29338311991971355,0.0824541955905248
0.15,0.85,36,-0.0432648166134633,0.8021660870649817,0.23287848351678886,0.17167637707385724
0.15,0.87,36,-0.023462422060467305,0.8919597169512419,0.2720133972752763,0.10851385365945257
0.15,0.89,36,0.021203248292294922,0.9023103470697841,0.32389290465906073,0.053969679225833636
0.15,0.91,35,0.08329974142990212,0.6342605187091582,0.2777894576981922,0.10615467758927388
0.15,0.93,35,0.32538432779832965,0.05647422102160751,0.45443721672866144,0.006098508986279117
0.15,0.95,27,0.06665418939033686,0.7411549048747512,0.21251909387653858,0.2872175915556356
0.17,0.45,37,0.21176673675147667,0.20830378922728565,0.35617738729692555,0.03048737688071154
0.17,0.47,37,0.21410935333375058,0.203198038373204,0.3565330904134005,0.03031004565085403
0.17,0.49,37,0.21632815800728908,0.1984431115697945,0.3692198349010074,0.024517701531111907
0.17,0.51,37,0.2186871820281037,0.193473627920126,0.36163150174954156,0.027860059631667614
0.17,0.53,37,0.2294864046595916,0.17183996241049485,0.357363064351842,0.029899566132293498
0.17,0.55,37,0.2436944809791888,0.14609204921361849,0.37206545983280703,0.02335323310110146
0.17,0.57,37,0.2626646939323692,0.11627333764443697,0.41249704740546067,0.011177428741334627
0.17,0.59,37,0.2579965854473251,0.12314633028679885,0.43751483326419954,0.0067698996222050325
0.17,0.61,37,0.2561972400357816,0.1258750230772165,0.44036045819599917,0.006379540256807397
0.17,0.63,37,0.2562960553869087,0.12572401145024864,0.4410718644289491,0.006285032161580436
0.17,0.65,37,0.2557092454169159,0.12662276832350025,0.4424946768948489,0.0060996249830027405
0.17,0.67,37,0.25199732868630337,0.13241907471407305,0.4510315516902479,0.005083076033585669
0.17,0.69,37,0.2709303732806225,0.10481623095491478,0.44664454658705677,0.0055855035015822925
0.17,0.71,37,0.280194493003366,0.09301692017018792,0.43585488538731626,0.007006951373011245
0.17,0.73,37,0.28992612137165935,0.0817488830907537,0.4056201204869448,0.012748719425794527
0.17,0.75,37,0.2996170125404567,0.0716101239202986,0.4225753023722512,0.009173343317282553
0.17,0.77,37,0.30130195684481353,0.06995255400533476,0.4186625680910267,0.009911599259891905
0.17,0.79,37,0.28677587994024506,0.08527404154569734,0.42850368764683383,0.008144357380261447
